Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1728916745.4174228,192858,1728916745,399902272,base_link,-0.0027853314155061003,0.0033783360950762164,-0.7069864058053781,-0.7072135821521869,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0005906273145228624,0.0019071063725277781,-0.0005809289868921044,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916745.5171366,192859,1728916745,500078656,base_link,-0.002766663819702965,0.003368574203834446,-0.7069744990457847,-0.7072256047246196,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00013776193372905254,0.0010962486267089844,-0.0005189663497731091,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916745.6182992,192860,1728916745,600254272,base_link,-0.002777184709063117,0.003365252951465222,-0.7069737393422209,-0.7072263387333236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-7.958151400089264e-06,0.0003527731169015169,-9.909796062856917e-05,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916745.7170014,192861,1728916745,700431936,base_link,-0.0027709355593079823,0.003379822153455602,-0.7069719605281699,-0.7072280719437632,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000635192496702075,-3.416056279093026e-05,0.00010046444367617369,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916745.8181214,192862,1728916745,800609856,base_link,-0.0027833794229599426,0.003373307532068695,-0.7069565097834943,-0.7072434989945275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001162766246125102,-4.627543967217212e-05,-0.0003642028896138072,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916745.9184148,192863,1728916745,900787264,base_link,-0.002761945220691842,0.003347896247879103,-0.7069520247629699,-0.7072481869420723,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00022482499480247498,0.0008228658698499202,-0.0007549111032858492,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.0181146,192864,1728916746,963904,base_link,-0.0027467928240705766,0.0033602834617728317,-0.7069396325699048,-0.7072605739938895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00038744881749153137,0.00022199074737727637,-0.0003381437854841352,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.1182919,192865,1728916746,101140288,base_link,-0.0027133728986248004,0.0033682341975245413,-0.7069431066932804,-0.7072571926143676,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0002714416477829218,0.00048049772158265114,0.00012400757987052197,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.2189794,192866,1728916746,201316416,base_link,-0.0027219515422517073,0.0034080983829773335,-0.706944747956802,-0.7072553281393557,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0003960889298468828,-0.0002949009649455548,-0.00028028909582644696,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.3191314,192867,1728916746,301495616,base_link,-0.002691661969488003,0.00342069909438623,-0.706950135321768,-0.7072499981916448,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00040714163333177567,0.0009313620394095777,-0.001006231992505491,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.08825985,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.4202273,192868,1728916746,401672000,base_link,-0.0026968209062499787,0.003443133336398038,-0.706937028453116,-0.7072629707482961,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00048823002725839615,-0.0012948054354637861,0.0002873342018574478,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.5191627,192869,1728916746,501847872,base_link,-0.002671583203841125,0.003454134687702749,-0.7069224115786846,-0.7072776227228745,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0009114786516875029,-0.00025463628116995096,0.00017026811838150027,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.6201813,192870,1728916746,602025536,base_link,-0.0026655500093755663,0.0034962672557375513,-0.7069333310308669,-0.7072665243287191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.001154775032773614,-0.0006661170627921819,0.0005431127501651646,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.7190247,192871,1728916746,702200640,base_link,-0.002661801290018682,0.0035129410001299567,-0.7069289458597081,-0.7072708389048031,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00028080842457711697,-3.590050619095567e-05,-0.0003033288521692157,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1728916746.821358,192872,1728916746,802374976,base_link,-0.002670513522225675,0.0035107431905421925,-0.7069157634875199,-0.7072839927303842,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.3133506551384926e-05,-0.0004673638613894582,-0.00013622094411402935,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0784532,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
