Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,radiation_type,field_of_view,min_range,max_range,range
1728578980.1076953,270,1728578980,97964048,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.147468,271,1728578980,133615255,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.1796055,272,1728578980,169263362,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.2162921,273,1728578980,204902887,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.2513907,274,1728578980,240637779,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.2868285,275,1728578980,276793718,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.322792,276,1728578980,312580108,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.3777566,277,1728578980,348042726,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.3937397,278,1728578980,383518457,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.4288187,279,1728578980,419002771,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.464523,280,1728578980,454730749,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.5120742,281,1728578980,490446805,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.5360773,282,1728578980,526160478,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.5716257,283,1728578980,562367916,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.6078033,284,1728578980,598055601,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.643133,285,1728578980,633877277,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.6795647,286,1728578980,669471502,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.714985,287,1728578980,705243825,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.7504842,288,1728578980,740955829,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.786913,289,1728578980,776736736,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.822144,290,1728578980,812402009,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.8578253,291,1728578980,848157167,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.893323,292,1728578980,883849382,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.9302294,293,1728578980,919576406,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578980.9650335,294,1728578980,955197811,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578981.0004926,295,1728578980,990836143,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
1728578981.0380719,296,1728578981,26449680,endeavour/tof/bottom,0,0.0,0.0,99.0,0.0
